n,n(n-1)/2,n*n,comparisons,swaps
881,387640,776161,387520,198408
882,388521,777924,386868,194754
883,389403,779689,388542,193370
884,390286,781456,390010,193091
885,391170,783225,391125,196271
886,392055,784996,390624,192882
887,392941,786769,392380,192824
888,393828,788544,391998,196126
889,394716,790321,394338,196449
890,395605,792100,395044,200154
891,396495,793881,396285,200039
892,397386,795664,396756,202728
893,398278,797449,397458,198523
894,399171,799236,398820,196780
895,400065,801025,399030,197978
896,400960,802816,399735,205537
897,401856,804609,400821,206190
898,402753,806404,401427,202848
899,403651,808201,402748,203354
900,404550,810000,403325,205469
901,405450,811801,404274,193283
902,406351,813604,405790,207320
903,407253,815409,406847,217387
904,408156,817216,407778,204838
905,409060,819025,408595,207238
906,409965,820836,409370,200694
907,410871,822649,410375,208689
908,411778,824464,411673,208122
909,412686,826281,412683,218092
910,413595,828100,413504,210660
911,414505,829921,414229,211445
912,415416,831744,411761,199232
913,416328,833569,415467,201007
914,417241,835396,415645,203946
915,418155,837225,418089,207396
916,419070,839056,418367,212798
917,419986,840889,416583,205478
918,420903,842724,419628,206957
919,421821,844561,420875,210374
920,422740,846400,421362,209510
921,423660,848241,423195,208114
922,424581,850084,424461,210449
923,425503,851929,424422,205987
924,426426,853776,426255,216680
925,427350,855625,427025,211932
926,428275,857476,426949,216155
927,429201,859329,427823,214792
928,430128,861184,426888,208873
929,431056,863041,430756,212576
930,431985,864900,431282,220818
931,432915,866761,432174,219325
932,433846,868624,432985,212963
933,434778,870489,434037,217243
934,435711,872356,434535,212629
935,436645,874225,436579,208993
936,437580,876096,436254,222109
937,438516,877969,436170,219378
938,439453,879844,437742,207542
939,440391,881721,440271,224334
940,441330,883600,441099,224610
941,442270,885481,442225,214972
942,443211,887364,442833,222193
943,444153,889249,443333,225294
944,445096,891136,441180,215254
945,446040,893025,445544,226342
946,446985,894916,446282,234551
947,447931,896809,445585,215122
948,448878,898704,447282,218685
949,449826,900601,449690,224065
950,450775,902500,449344,222975
951,451725,904401,451554,218655
952,452676,906304,452010,231487
953,453628,908209,453277,215645
954,454581,910116,454350,220309
955,455535,912025,452760,227901
956,456490,913936,456354,225506
957,457446,915849,457040,230322
958,458403,917764,457542,232156
959,459361,919681,458620,225574
960,460320,921600,459417,232390
961,461280,923521,460902,237899
962,462241,925444,462136,231388
963,463203,927369,463158,226549
964,464166,929296,464156,228798
965,465130,931225,463905,229399
966,466095,933156,465500,235173
967,467061,935089,465408,235624
968,468028,937024,467650,233183
969,468996,938961,467618,234113
970,469965,940900,468312,231008
971,470935,942841,469395,222772
972,471906,944784,471770,239586
973,472878,946729,470987,235362
974,473851,948676,471960,238043
975,474825,950625,474689,239111
976,475800,952576,473720,242389
977,476776,954529,475006,235470
978,477753,956484,477500,231780
979,478731,958441,477650,241614
980,479710,960400,478279,236375
981,480690,962361,480339,243419
982,481671,964324,480636,250677
983,482653,966289,482092,237609
984,483636,968256,483041,233344
985,484620,970225,484542,243728
986,485605,972196,483894,239945
987,486591,974169,485051,247153
988,487578,976144,485367,240772
989,488566,978121,486675,238552
990,489555,980100,489527,248009
991,490545,982081,488715,236347
992,491536,984064,490716,247847
993,492528,986049,492252,249537
994,493521,988036,493506,246273
995,494515,990025,494512,249994
996,495510,992016,494285,244307
997,496506,994009,495840,239630
998,497503,996004,495733,249321
999,498501,998001,497760,251733
1000,499500,1000000,499485,241588
